Agent: ddpg, Model: <class 'utils.envs.WorldModel'>, State: [288], Dir: iter1/
Ep: 0, Reward: -66.2093, Test: -47.9765, Avg: -47.9765
Ep: 1, Reward: -27.1050, Test: -81.9027, Avg: -64.9396
Ep: 2, Reward: -65.7939, Test: -82.8328, Avg: -70.9040
Ep: 3, Reward: -35.7527, Test: -83.0470, Avg: -73.9397
Ep: 4, Reward: -51.0268, Test: -80.8922, Avg: -75.3302
Ep: 5, Reward: -31.9255, Test: -83.6013, Avg: -76.7088
Ep: 6, Reward: -70.7660, Test: -80.8373, Avg: -77.2986
Ep: 7, Reward: -49.3584, Test: -80.9030, Avg: -77.7491
Ep: 8, Reward: -36.3555, Test: -77.3991, Avg: -77.7102
Ep: 9, Reward: -36.0107, Test: -83.4130, Avg: -78.2805
Ep: 10, Reward: -25.5165, Test: -83.2547, Avg: -78.7327
Ep: 11, Reward: -61.8205, Test: -83.6320, Avg: -79.1410
Ep: 12, Reward: -67.5570, Test: -83.3190, Avg: -79.4624
Ep: 13, Reward: -41.8433, Test: -82.3665, Avg: -79.6698
Ep: 14, Reward: -28.4654, Test: -22.8744, Avg: -75.8834
Ep: 15, Reward: -35.3076, Test: -78.8170, Avg: -76.0668
Ep: 16, Reward: -21.9318, Test: -47.6463, Avg: -74.3950
Ep: 17, Reward: 0.1018, Test: -77.2762, Avg: -74.5551
Ep: 18, Reward: -40.7751, Test: -55.5275, Avg: -73.5536
Ep: 19, Reward: -80.4341, Test: -81.2532, Avg: -73.9386
Ep: 20, Reward: -22.0017, Test: -78.0692, Avg: -74.1353
Ep: 21, Reward: -62.6287, Test: -76.2354, Avg: -74.2307
Ep: 22, Reward: -35.3285, Test: -62.6611, Avg: -73.7277
Ep: 23, Reward: -17.7674, Test: -78.1587, Avg: -73.9123
Ep: 24, Reward: -70.8492, Test: -72.4823, Avg: -73.8551
Ep: 25, Reward: -49.9746, Test: -73.7709, Avg: -73.8519
Ep: 26, Reward: -32.4498, Test: -70.6367, Avg: -73.7328
Ep: 27, Reward: -49.6853, Test: -35.2106, Avg: -72.3570
Ep: 28, Reward: -26.8244, Test: -61.3165, Avg: -71.9763
Ep: 29, Reward: -59.6170, Test: -38.1366, Avg: -70.8483
Ep: 30, Reward: -28.7209, Test: -59.6549, Avg: -70.4872
Ep: 31, Reward: -55.8729, Test: 343.0789, Avg: -57.5633
Ep: 32, Reward: -14.9969, Test: 166.5636, Avg: -50.7716
Ep: 33, Reward: -75.8524, Test: -35.3666, Avg: -50.3185
Ep: 34, Reward: -45.4975, Test: -44.2765, Avg: -50.1459
Ep: 35, Reward: -31.1148, Test: 16.0535, Avg: -48.3070
Ep: 36, Reward: -59.6453, Test: -36.7683, Avg: -47.9951
Ep: 37, Reward: -133.4980, Test: -33.8844, Avg: -47.6238
Ep: 38, Reward: -80.7348, Test: -41.7193, Avg: -47.4724
Ep: 39, Reward: -33.7482, Test: -25.9607, Avg: -46.9346
Ep: 40, Reward: -64.8187, Test: -68.8962, Avg: -47.4703
Ep: 41, Reward: -48.3757, Test: -8.2564, Avg: -46.5366
Ep: 42, Reward: -49.6898, Test: 258.2916, Avg: -39.4476
Ep: 43, Reward: -67.1796, Test: 108.2381, Avg: -36.0911
Ep: 44, Reward: 2.8103, Test: -15.3911, Avg: -35.6311
Ep: 45, Reward: -7.5609, Test: 120.1717, Avg: -32.2441
Ep: 46, Reward: -8.5654, Test: 361.6636, Avg: -23.8630
Ep: 47, Reward: -18.9828, Test: 409.6368, Avg: -14.8318
Ep: 48, Reward: -18.7472, Test: 442.9721, Avg: -5.4889
Ep: 49, Reward: 25.8583, Test: 709.0961, Avg: 8.8028
Ep: 50, Reward: 9.9222, Test: 464.7151, Avg: 17.7423
Ep: 51, Reward: 17.3789, Test: 320.3839, Avg: 23.5623
Ep: 52, Reward: 93.6659, Test: 260.1234, Avg: 28.0257
Ep: 53, Reward: 161.2031, Test: 488.3011, Avg: 36.5494
Ep: 54, Reward: -34.4379, Test: 393.6643, Avg: 43.0424
Ep: 55, Reward: 195.0650, Test: 492.5003, Avg: 51.0684
Ep: 56, Reward: 96.0827, Test: 266.6443, Avg: 54.8504
Ep: 57, Reward: 153.4302, Test: 380.8331, Avg: 60.4708
Ep: 58, Reward: 150.6534, Test: 322.0498, Avg: 64.9044
Ep: 59, Reward: 112.0004, Test: 162.8827, Avg: 66.5373
Ep: 60, Reward: 278.7193, Test: 198.9613, Avg: 68.7082
Ep: 61, Reward: 185.5057, Test: 290.0002, Avg: 72.2774
Ep: 62, Reward: 75.6024, Test: 250.0505, Avg: 75.0992
Ep: 63, Reward: 190.1271, Test: 145.4234, Avg: 76.1980
Ep: 64, Reward: 242.8411, Test: 33.7930, Avg: 75.5457
Ep: 65, Reward: 486.5311, Test: 6.1888, Avg: 74.4948
Ep: 66, Reward: 95.6133, Test: 8.9505, Avg: 73.5165
Ep: 67, Reward: 134.1682, Test: 49.6400, Avg: 73.1654
Ep: 68, Reward: 55.9121, Test: 23.5741, Avg: 72.4467
Ep: 69, Reward: 26.7209, Test: 23.2122, Avg: 71.7433
Ep: 70, Reward: 34.1320, Test: 44.2765, Avg: 71.3565
Ep: 71, Reward: 81.0924, Test: 11.4290, Avg: 70.5242
Ep: 72, Reward: 53.6380, Test: 96.4163, Avg: 70.8788
Ep: 73, Reward: 31.8726, Test: 41.2247, Avg: 70.4781
Ep: 74, Reward: 130.4965, Test: 39.0355, Avg: 70.0589
