Ep: 0, Reward: -76.5886, Avg: -76.5886
Ep: 1, Reward: -73.2938, Avg: -74.9412
Ep: 2, Reward: -65.9864, Avg: -71.9563
Ep: 3, Reward: -83.3333, Avg: -74.8005
Ep: 4, Reward: -34.3066, Avg: -66.7017
Ep: 5, Reward: -36.5079, Avg: -61.6694
Ep: 6, Reward: -82.4561, Avg: -64.6390
Ep: 7, Reward: -69.3878, Avg: -65.2326
Ep: 8, Reward: -67.3203, Avg: -65.4645
Ep: 9, Reward: -56.3758, Avg: -64.5557
Ep: 10, Reward: -39.8734, Avg: -62.3118
Ep: 11, Reward: -44.6494, Avg: -60.8400
Ep: 12, Reward: -60.3960, Avg: -60.8058
Ep: 13, Reward: -58.7302, Avg: -60.6575
Ep: 14, Reward: -74.3590, Avg: -61.5710
Ep: 15, Reward: -66.3609, Avg: -61.8703
Ep: 16, Reward: -67.7419, Avg: -62.2157
Ep: 17, Reward: -46.6192, Avg: -61.3493
Ep: 18, Reward: -40.7407, Avg: -60.2646
Ep: 19, Reward: -44.0559, Avg: -59.4542
Ep: 20, Reward: -82.1429, Avg: -60.5346
Ep: 21, Reward: -60.5735, Avg: -60.5363
Ep: 22, Reward: -173.9389, Avg: -65.4669
Ep: 23, Reward: -85.6734, Avg: -66.3088
Ep: 24, Reward: -77.4920, Avg: -66.7562
Ep: 25, Reward: -75.4768, Avg: -67.0916
Ep: 26, Reward: -72.3183, Avg: -67.2852
Ep: 27, Reward: -45.6869, Avg: -66.5138
Ep: 28, Reward: -33.3333, Avg: -65.3696
Ep: 29, Reward: -52.5424, Avg: -64.9421
Ep: 30, Reward: -23.3038, Avg: -63.5989
Ep: 31, Reward: -67.2131, Avg: -63.7118
Ep: 32, Reward: -29.5302, Avg: -62.6760
Ep: 33, Reward: -71.1191, Avg: -62.9244
Ep: 34, Reward: -64.0523, Avg: -62.9566
Ep: 35, Reward: -82.6389, Avg: -63.5033
Ep: 36, Reward: -71.9298, Avg: -63.7311
Ep: 37, Reward: -40.3509, Avg: -63.1158
Ep: 38, Reward: -0.8621, Avg: -61.5195
Ep: 39, Reward: -62.3288, Avg: -61.5398
Ep: 40, Reward: -69.9248, Avg: -61.7443
Ep: 41, Reward: -60.7843, Avg: -61.7214
Ep: 42, Reward: -19.4631, Avg: -60.7387
Ep: 43, Reward: -65.7534, Avg: -60.8526
Ep: 44, Reward: -76.3780, Avg: -61.1977
Ep: 45, Reward: -20.5776, Avg: -60.3146
Ep: 46, Reward: -12.5874, Avg: -59.2991
Ep: 47, Reward: -59.3023, Avg: -59.2992
Ep: 48, Reward: -25.5319, Avg: -58.6101
Ep: 49, Reward: -20.2899, Avg: -57.8437
Ep: 50, Reward: -50.4950, Avg: -57.6996
Ep: 51, Reward: -54.6828, Avg: -57.6416
Ep: 52, Reward: -35.0181, Avg: -57.2147
Ep: 53, Reward: -51.7685, Avg: -57.1138
Ep: 54, Reward: -48.4536, Avg: -56.9564
Ep: 55, Reward: -58.4906, Avg: -56.9838
Ep: 56, Reward: -31.5961, Avg: -56.5384
Ep: 57, Reward: -40.5204, Avg: -56.2622
Ep: 58, Reward: 36.0544, Avg: -54.6975
Ep: 59, Reward: -34.9315, Avg: -54.3681
Ep: 60, Reward: -23.6111, Avg: -53.8639
Ep: 61, Reward: -158.3175, Avg: -55.5486
Ep: 62, Reward: -45.3925, Avg: -55.3874
Ep: 63, Reward: -34.8534, Avg: -55.0666
Ep: 64, Reward: -23.0769, Avg: -54.5744
Ep: 65, Reward: -28.3019, Avg: -54.1763
Ep: 66, Reward: -51.8900, Avg: -54.1422
Ep: 67, Reward: -30.0412, Avg: -53.7878
Ep: 68, Reward: -23.3577, Avg: -53.3468
Ep: 69, Reward: -69.6970, Avg: -53.5804
Ep: 70, Reward: -69.0722, Avg: -53.7985
Ep: 71, Reward: -50.5300, Avg: -53.7532
Ep: 72, Reward: -40.1993, Avg: -53.5675
Ep: 73, Reward: 0.7194, Avg: -52.8339
Ep: 74, Reward: -50.8197, Avg: -52.8070
Ep: 75, Reward: -83.6601, Avg: -53.2130
Ep: 76, Reward: -20.2658, Avg: -52.7851
Ep: 77, Reward: -51.8900, Avg: -52.7736
Ep: 78, Reward: -39.1892, Avg: -52.6017
Ep: 79, Reward: -70.1987, Avg: -52.8216
Ep: 80, Reward: -56.8627, Avg: -52.8715
Ep: 81, Reward: -15.4930, Avg: -52.4157
Ep: 82, Reward: -75.9036, Avg: -52.6987
Ep: 83, Reward: -51.4563, Avg: -52.6839
Ep: 84, Reward: -29.4606, Avg: -52.4107
Ep: 85, Reward: -33.7539, Avg: -52.1937
Ep: 86, Reward: -80.0000, Avg: -52.5133
Ep: 87, Reward: -62.3431, Avg: -52.6250
Ep: 88, Reward: -35.1536, Avg: -52.4287
Ep: 89, Reward: -51.5571, Avg: -52.4190
Ep: 90, Reward: -16.0305, Avg: -52.0192
Ep: 91, Reward: -67.3913, Avg: -52.1863
Ep: 92, Reward: -54.3726, Avg: -52.2098
Ep: 93, Reward: -25.6757, Avg: -51.9275
Ep: 94, Reward: -76.8212, Avg: -52.1895
Ep: 95, Reward: -50.5300, Avg: -52.1722
Ep: 96, Reward: -72.9730, Avg: -52.3867
Ep: 97, Reward: -49.8433, Avg: -52.3607
Ep: 98, Reward: -49.3671, Avg: -52.3305
Ep: 99, Reward: -70.1493, Avg: -52.5087
Ep: 100, Reward: -32.4324, Avg: -52.0671
Ep: 101, Reward: -69.0402, Avg: -52.0246
Ep: 102, Reward: -52.0295, Avg: -51.8850
Ep: 103, Reward: -74.3590, Avg: -51.7953
Ep: 104, Reward: -24.6575, Avg: -51.6988
Ep: 105, Reward: -11.0169, Avg: -51.4439
Ep: 106, Reward: -67.4267, Avg: -51.2936
Ep: 107, Reward: -63.7462, Avg: -51.2372
Ep: 108, Reward: -73.6842, Avg: -51.3008
Ep: 109, Reward: -66.9118, Avg: -51.4062
Ep: 110, Reward: -59.5960, Avg: -51.6034
Ep: 111, Reward: -59.8540, Avg: -51.7554
Ep: 112, Reward: -33.0986, Avg: -51.4825
Ep: 113, Reward: -79.0941, Avg: -51.6861
Ep: 114, Reward: -6.6148, Avg: -51.0087
Ep: 115, Reward: -23.3449, Avg: -50.5785
Ep: 116, Reward: -1.5152, Avg: -49.9162
Ep: 117, Reward: -38.7755, Avg: -49.8378
Ep: 118, Reward: -28.8136, Avg: -49.7185
Ep: 119, Reward: -33.3333, Avg: -49.6113
Ep: 120, Reward: -24.5902, Avg: -49.0358
Ep: 121, Reward: -39.1892, Avg: -48.8219
Ep: 122, Reward: -21.8750, Avg: -47.3013
Ep: 123, Reward: -30.0699, Avg: -46.7452
Ep: 124, Reward: -32.4324, Avg: -46.2947
Ep: 125, Reward: -65.5172, Avg: -46.1951
Ep: 126, Reward: 33.0645, Avg: -45.1412
Ep: 127, Reward: -12.5874, Avg: -44.8102
Ep: 128, Reward: -68.0511, Avg: -45.1574
Ep: 129, Reward: -64.7436, Avg: -45.2794
Ep: 130, Reward: -40.2516, Avg: -45.4489
Ep: 131, Reward: -38.2716, Avg: -45.1595
Ep: 132, Reward: 9.1549, Avg: -44.7726
Ep: 133, Reward: -70.5882, Avg: -44.7673
Ep: 134, Reward: -66.8874, Avg: -44.7957
Ep: 135, Reward: -54.0636, Avg: -44.5099
Ep: 136, Reward: -81.4815, Avg: -44.6054
Ep: 137, Reward: 7.9137, Avg: -44.1228
Ep: 138, Reward: -21.4286, Avg: -44.3285
Ep: 139, Reward: -26.4214, Avg: -43.9694
Ep: 140, Reward: -24.1877, Avg: -43.5120
Ep: 141, Reward: -15.4412, Avg: -43.0586
Ep: 142, Reward: -70.8029, Avg: -43.5720
Ep: 143, Reward: 12.6280, Avg: -42.7882
Ep: 144, Reward: -64.8562, Avg: -42.6730
Ep: 145, Reward: -30.0699, Avg: -42.7679
Ep: 146, Reward: -70.3264, Avg: -43.3453
Ep: 147, Reward: -34.1317, Avg: -43.0936
Ep: 148, Reward: -54.7038, Avg: -43.3853
Ep: 149, Reward: -30.8176, Avg: -43.4906
Ep: 150, Reward: -5.7971, Avg: -43.0436
Ep: 151, Reward: -56.5217, Avg: -43.0620
Ep: 152, Reward: -60.3960, Avg: -43.3157
Ep: 153, Reward: -76.5101, Avg: -43.5632
Ep: 154, Reward: -36.6667, Avg: -43.4453
Ep: 155, Reward: -42.0290, Avg: -43.2807
Ep: 156, Reward: -79.5918, Avg: -43.7606
Ep: 157, Reward: -74.8428, Avg: -44.1039
Ep: 158, Reward: -58.1994, Avg: -45.0464
Ep: 159, Reward: -49.8208, Avg: -45.1953
Ep: 160, Reward: 27.9461, Avg: -44.6797
Ep: 161, Reward: -78.3282, Avg: -43.8798
Ep: 162, Reward: -71.1538, Avg: -44.1374
Ep: 163, Reward: -71.7868, Avg: -44.5068
Ep: 164, Reward: -74.6032, Avg: -45.0220
Ep: 165, Reward: 5.6911, Avg: -44.6821
Ep: 166, Reward: -42.7609, Avg: -44.5908
Ep: 167, Reward: -59.5016, Avg: -44.8854
Ep: 168, Reward: -56.3953, Avg: -45.2158
Ep: 169, Reward: -14.8936, Avg: -44.6678
Ep: 170, Reward: 38.6861, Avg: -43.5902
Ep: 171, Reward: -53.6424, Avg: -43.6213
Ep: 172, Reward: -38.2716, Avg: -43.6020
Ep: 173, Reward: -41.3919, Avg: -44.0231
Ep: 174, Reward: -61.9377, Avg: -44.1343
Ep: 175, Reward: -69.4656, Avg: -43.9924
Ep: 176, Reward: -31.7406, Avg: -44.1071
Ep: 177, Reward: -2.3437, Avg: -43.6117
Ep: 178, Reward: -37.0370, Avg: -43.5901
Ep: 179, Reward: -24.1877, Avg: -43.1300
Ep: 180, Reward: -27.1523, Avg: -42.8329
Ep: 181, Reward: -30.6569, Avg: -42.9846
Ep: 182, Reward: -40.4762, Avg: -42.6303
Ep: 183, Reward: -35.3741, Avg: -42.4695
Ep: 184, Reward: -32.8859, Avg: -42.5037
Ep: 185, Reward: -25.6198, Avg: -42.4224
Ep: 186, Reward: -30.6931, Avg: -41.9293
Ep: 187, Reward: -20.8633, Avg: -41.5145
Ep: 188, Reward: -18.5185, Avg: -41.3482
Ep: 189, Reward: -29.0780, Avg: -41.1234
Ep: 190, Reward: -24.9147, Avg: -41.2122
Ep: 191, Reward: -40.4762, Avg: -40.9431
Ep: 192, Reward: -23.0769, Avg: -40.6301
Ep: 193, Reward: -39.9399, Avg: -40.7727
Ep: 194, Reward: -25.0000, Avg: -40.2545
Ep: 195, Reward: -43.9528, Avg: -40.1888
Ep: 196, Reward: -31.0345, Avg: -39.7694
Ep: 197, Reward: -39.8281, Avg: -39.6692
Ep: 198, Reward: -30.2326, Avg: -39.4779
Ep: 199, Reward: -29.7659, Avg: -39.0740
Ep: 200, Reward: 3.4483, Avg: -38.7152
Ep: 201, Reward: 2.7397, Avg: -37.9974
Ep: 202, Reward: -33.5664, Avg: -37.8128
Ep: 203, Reward: -18.8192, Avg: -37.2574
Ep: 204, Reward: -42.1965, Avg: -37.4328
Ep: 205, Reward: -32.5153, Avg: -37.6478
Ep: 206, Reward: -29.0780, Avg: -37.2643
Ep: 207, Reward: -21.2329, Avg: -36.8392
Ep: 208, Reward: -34.7826, Avg: -36.4501
Ep: 209, Reward: -30.7958, Avg: -36.0890
Ep: 210, Reward: -13.3574, Avg: -35.6266
