Ep: 0, Reward: -47.7104, Test: -74.9920, Avg: -74.9920
Ep: 1, Reward: -78.5649, Test: -63.3806, Avg: -69.1863
Ep: 2, Reward: -42.2883, Test: -43.3084, Avg: -60.5604
Ep: 3, Reward: -48.5896, Test: -51.5275, Avg: -58.3021
Ep: 4, Reward: -68.1216, Test: -66.2768, Avg: -59.8971
Ep: 5, Reward: -65.3762, Test: -49.3464, Avg: -58.1386
Ep: 6, Reward: -75.8503, Test: -67.0103, Avg: -59.4060
Ep: 7, Reward: -60.0544, Test: -61.8181, Avg: -59.7075
Ep: 8, Reward: -46.3013, Test: -56.3714, Avg: -59.3368
Ep: 9, Reward: -54.7170, Test: -50.0358, Avg: -58.4067
Ep: 10, Reward: -13.6463, Test: -59.0971, Avg: -58.4695
Ep: 11, Reward: -36.1806, Test: -62.9050, Avg: -58.8391
Ep: 12, Reward: -73.6587, Test: -68.1802, Avg: -59.5577
Ep: 13, Reward: -29.4539, Test: -74.8291, Avg: -60.6485
Ep: 14, Reward: -76.3418, Test: -60.5123, Avg: -60.6394
Ep: 15, Reward: -61.7682, Test: -60.4008, Avg: -60.6245
Ep: 16, Reward: -74.7789, Test: -54.6689, Avg: -60.2742
Ep: 17, Reward: -38.2314, Test: -36.1638, Avg: -58.9347
Ep: 18, Reward: -72.7856, Test: -72.3073, Avg: -59.6385
Ep: 19, Reward: -39.2489, Test: -65.3758, Avg: -59.9254
Ep: 20, Reward: -65.3210, Test: -33.5206, Avg: -58.6680
Ep: 21, Reward: -62.7961, Test: -53.7384, Avg: -58.4439
Ep: 22, Reward: -49.4836, Test: -54.8449, Avg: -58.2875
Ep: 23, Reward: -64.7825, Test: -70.9375, Avg: -58.8145
Ep: 24, Reward: -19.8987, Test: -62.5695, Avg: -58.9647
Ep: 25, Reward: -63.4788, Test: -47.1432, Avg: -58.5101
Ep: 26, Reward: -41.9113, Test: -33.5404, Avg: -57.5853
Ep: 27, Reward: -59.0955, Test: -50.2346, Avg: -57.3227
Ep: 28, Reward: -35.7868, Test: -58.0718, Avg: -57.3486
Ep: 29, Reward: -52.6213, Test: -35.5843, Avg: -56.6231
Ep: 30, Reward: -54.6371, Test: -56.1575, Avg: -56.6081
Ep: 31, Reward: -69.7490, Test: -57.2054, Avg: -56.6267
