Iteration 0
Ep: 0, Reward: -45.3260, Test: -51.5731, Avg: -51.5731
Ep: 1, Reward: -17.4195, Test: -54.1786, Avg: -52.8758
Ep: 2, Reward: -56.7850, Test: -50.7933, Avg: -52.1816
Ep: 3, Reward: -46.0213, Test: -60.5046, Avg: -54.2624
Ep: 4, Reward: -55.0570, Test: -72.2049, Avg: -57.8509
Ep: 5, Reward: -79.7172, Test: -52.0954, Avg: -56.8916
Ep: 6, Reward: -75.7206, Test: -57.3416, Avg: -56.9559
Ep: 7, Reward: -62.8640, Test: -60.3463, Avg: -57.3797
Ep: 8, Reward: -45.2069, Test: -49.3452, Avg: -56.4870
Ep: 9, Reward: -73.8171, Test: -49.3860, Avg: -55.7769
Ep: 10, Reward: -37.2334, Test: -64.7012, Avg: -56.5882
Ep: 11, Reward: -31.8490, Test: -45.1715, Avg: -55.6368
Ep: 12, Reward: -16.5703, Test: -73.9985, Avg: -57.0492
Ep: 13, Reward: -67.2235, Test: -53.5578, Avg: -56.7998
Ep: 14, Reward: -65.1822, Test: -65.6625, Avg: -57.3907
Ep: 15, Reward: -52.4668, Test: -36.8309, Avg: -56.1057
Ep: 16, Reward: -44.9789, Test: -66.2037, Avg: -56.6997
Ep: 17, Reward: -40.2799, Test: -54.2171, Avg: -56.5618
Ep: 18, Reward: -65.7514, Test: -56.6490, Avg: -56.5664
Ep: 19, Reward: -33.0754, Test: -62.3339, Avg: -56.8548
Ep: 20, Reward: -7.2837, Test: -79.1555, Avg: -57.9167
Ep: 21, Reward: -58.3505, Test: -60.8143, Avg: -58.0484
Ep: 22, Reward: -59.6535, Test: -47.2502, Avg: -57.5789
Ep: 23, Reward: -40.3681, Test: -105.6688, Avg: -59.5827
Ep: 24, Reward: -102.0703, Test: -58.7258, Avg: -59.5484
Ep: 25, Reward: -33.0397, Test: -50.1285, Avg: -59.1861
Ep: 26, Reward: -54.6710, Test: -44.4453, Avg: -58.6401
Ep: 27, Reward: -59.7480, Test: -42.7595, Avg: -58.0730
Ep: 28, Reward: -68.4269, Test: -47.1754, Avg: -57.6972
Ep: 29, Reward: -73.2948, Test: -56.7460, Avg: -57.6655
Ep: 30, Reward: -53.0743, Test: -45.3327, Avg: -57.2676
Ep: 31, Reward: -36.1327, Test: -26.1182, Avg: -56.2942
Ep: 32, Reward: -34.0335, Test: -41.6742, Avg: -55.8512
Ep: 33, Reward: -41.2567, Test: -39.7358, Avg: -55.3772
Ep: 34, Reward: -73.9329, Test: -13.4307, Avg: -54.1787
Ep: 35, Reward: 1.1465, Test: 15.8184, Avg: -52.2344
Ep: 36, Reward: -5.1901, Test: 42.5973, Avg: -49.6714
Ep: 37, Reward: 51.0460, Test: -9.1179, Avg: -48.6042
Ep: 38, Reward: 6.4846, Test: 55.7149, Avg: -45.9293
Ep: 39, Reward: -4.9763, Test: -0.7136, Avg: -44.7989
Ep: 40, Reward: 107.0527, Test: 23.2908, Avg: -43.1382
Ep: 41, Reward: 97.4798, Test: 29.7141, Avg: -41.4036
Ep: 42, Reward: 152.7415, Test: -13.4983, Avg: -40.7547
Ep: 43, Reward: -49.1486, Test: -6.7985, Avg: -39.9829
Ep: 44, Reward: -28.1880, Test: 168.0181, Avg: -35.3607
Ep: 45, Reward: 105.9131, Test: -25.1602, Avg: -35.1389
Ep: 46, Reward: 46.9240, Test: 96.3228, Avg: -32.3419
Ep: 47, Reward: 211.7750, Test: 218.1610, Avg: -27.1231
Ep: 48, Reward: 0.8836, Test: 118.1342, Avg: -24.1586
Ep: 49, Reward: -14.7714, Test: 106.3373, Avg: -21.5487
Ep: 50, Reward: 74.4327, Test: 69.7868, Avg: -19.7578
Ep: 51, Reward: -6.5171, Test: 155.8372, Avg: -16.3810
Ep: 52, Reward: 234.5009, Test: 115.2285, Avg: -13.8978
Ep: 53, Reward: 74.7521, Test: 86.9335, Avg: -12.0305
Ep: 54, Reward: 231.5421, Test: 88.9965, Avg: -10.1937
Ep: 55, Reward: 10.9778, Test: 119.4833, Avg: -7.8780
Ep: 56, Reward: 367.0190, Test: 110.2562, Avg: -5.8055
Ep: 57, Reward: 259.5299, Test: 197.4664, Avg: -2.3008
Ep: 58, Reward: 108.3555, Test: 248.4126, Avg: 1.9486
Ep: 59, Reward: 405.2127, Test: 212.9396, Avg: 5.4651
Ep: 60, Reward: 200.4163, Test: 293.4826, Avg: 10.1867
Ep: 61, Reward: 358.4471, Test: 286.2848, Avg: 14.6399
Ep: 62, Reward: 442.5200, Test: 434.5573, Avg: 21.3052
Ep: 63, Reward: 489.3375, Test: 449.6843, Avg: 27.9987
Ep: 64, Reward: 416.4955, Test: 576.0112, Avg: 36.4296
Ep: 65, Reward: 311.2381, Test: 470.2183, Avg: 43.0022
Ep: 66, Reward: 527.6270, Test: 417.5687, Avg: 48.5927
Ep: 67, Reward: 485.4459, Test: 234.2241, Avg: 51.3226
Ep: 68, Reward: 454.1305, Test: 208.2414, Avg: 53.5968
Ep: 69, Reward: 307.6927, Test: 396.3606, Avg: 58.4934
Ep: 70, Reward: 264.6519, Test: 357.2947, Avg: 62.7019
Ep: 71, Reward: 513.7302, Test: 421.3702, Avg: 67.6834
Ep: 72, Reward: 549.7849, Test: 546.7832, Avg: 74.2464
Ep: 73, Reward: 457.8761, Test: 191.6919, Avg: 75.8335
Ep: 74, Reward: 532.3630, Test: 550.6988, Avg: 82.1650
Ep: 75, Reward: 528.0888, Test: 290.0806, Avg: 84.9008
Ep: 76, Reward: 399.4019, Test: 414.4311, Avg: 89.1804
Ep: 77, Reward: 281.5841, Test: 177.4255, Avg: 90.3117
Ep: 78, Reward: 259.1894, Test: 95.8040, Avg: 90.3812
Ep: 79, Reward: 386.7134, Test: 234.2074, Avg: 92.1791
Ep: 80, Reward: 371.9241, Test: 367.1900, Avg: 95.5743
Ep: 81, Reward: 275.9609, Test: 371.7625, Avg: 98.9424
Ep: 82, Reward: 426.8672, Test: 346.5921, Avg: 101.9262
Ep: 83, Reward: 373.0342, Test: 169.8621, Avg: 102.7349
Ep: 84, Reward: 477.7007, Test: 477.8036, Avg: 107.1475
Ep: 85, Reward: 400.8570, Test: 282.5409, Avg: 109.1869
Ep: 86, Reward: 514.4875, Test: 262.6609, Avg: 110.9510
Ep: 87, Reward: 187.1377, Test: 328.9940, Avg: 113.4288
Ep: 88, Reward: 286.9216, Test: 478.3456, Avg: 117.5290
Ep: 89, Reward: 495.3885, Test: 228.1893, Avg: 118.7585
Ep: 90, Reward: 164.1593, Test: 431.3093, Avg: 122.1931
Ep: 91, Reward: 279.4597, Test: 316.2704, Avg: 124.3027
Ep: 92, Reward: 278.4866, Test: 207.1200, Avg: 125.1932
Ep: 93, Reward: 312.0229, Test: 557.0064, Avg: 129.7869
Ep: 94, Reward: 239.5135, Test: 286.1967, Avg: 131.4334
