Ep: 0, Reward: -68.3825, Avg: -68.3825
Ep: 1, Reward: -72.3974, Avg: -70.3900
Ep: 2, Reward: -54.8726, Avg: -65.2175
Ep: 3, Reward: -10.2446, Avg: -51.4743
Ep: 4, Reward: -61.1617, Avg: -53.4118
Ep: 5, Reward: 41.5737, Avg: -37.5809
Ep: 6, Reward: 0.9361, Avg: -32.0784
Ep: 7, Reward: -33.1955, Avg: -32.2181
Ep: 8, Reward: -10.0929, Avg: -29.7597
Ep: 9, Reward: -37.4051, Avg: -30.5243
Ep: 10, Reward: -50.4554, Avg: -32.3362
Ep: 11, Reward: -27.6159, Avg: -31.9428
Ep: 12, Reward: 21.9647, Avg: -27.7961
Ep: 13, Reward: 56.3507, Avg: -21.7856
Ep: 14, Reward: 101.9498, Avg: -13.5366
Ep: 15, Reward: 187.4476, Avg: -0.9751
Ep: 16, Reward: 240.7087, Avg: 13.2416
Ep: 17, Reward: 268.7975, Avg: 27.4392
Ep: 18, Reward: 216.4338, Avg: 37.3863
Ep: 19, Reward: 221.6845, Avg: 46.6012
Ep: 20, Reward: 224.8482, Avg: 55.0891
Ep: 21, Reward: 92.9982, Avg: 56.8123
