Iteration 1
Ep: 0, Reward: -34.5742, Test: -47.1943, Avg: -47.1943
Ep: 1, Reward: -33.8580, Test: -34.6408, Avg: -40.9176
Ep: 2, Reward: -21.2639, Test: -34.0472, Avg: -38.6275
Ep: 3, Reward: 56.8382, Test: 161.7341, Avg: 11.4629
Ep: 4, Reward: 196.8992, Test: 124.1856, Avg: 34.0075
Ep: 5, Reward: 195.4829, Test: 255.3337, Avg: 70.8952
Ep: 6, Reward: 321.0339, Test: 607.1371, Avg: 147.5012
Ep: 7, Reward: 586.6023, Test: 609.4069, Avg: 205.2394
Ep: 8, Reward: 583.4363, Test: 645.4621, Avg: 254.1530
Ep: 9, Reward: 514.7323, Test: 695.0193, Avg: 298.2396
Ep: 10, Reward: 547.9530, Test: 492.9795, Avg: 315.9433
Ep: 11, Reward: 449.2742, Test: 696.6181, Avg: 347.6662
Ep: 12, Reward: 622.9353, Test: 589.0802, Avg: 366.2365
Ep: 13, Reward: 617.4642, Test: 794.9217, Avg: 396.8568
Ep: 14, Reward: 675.8018, Test: 606.7884, Avg: 410.8523
Ep: 15, Reward: 721.5211, Test: 523.2751, Avg: 417.8787
Ep: 16, Reward: 696.1689, Test: 414.8908, Avg: 417.7030
Ep: 17, Reward: 559.1978, Test: 609.6921, Avg: 428.3690
Ep: 18, Reward: 574.7055, Test: 584.0761, Avg: 436.5641
Ep: 19, Reward: 670.9975, Test: 621.5930, Avg: 445.8156
Ep: 20, Reward: 566.3425, Test: 752.0761, Avg: 460.3994
Ep: 21, Reward: 573.8412, Test: 630.2967, Avg: 468.1220
Ep: 22, Reward: 526.2938, Test: 344.4105, Avg: 462.7432
Ep: 23, Reward: 562.0127, Test: 178.9505, Avg: 450.9185
Ep: 24, Reward: 494.7275, Test: 429.3853, Avg: 450.0572
Ep: 25, Reward: 503.6875, Test: 323.3021, Avg: 445.1820
Ep: 26, Reward: 441.2135, Test: 431.8155, Avg: 444.6870
Ep: 27, Reward: 422.5820, Test: 504.7861, Avg: 446.8334
Ep: 28, Reward: 414.7161, Test: 668.7884, Avg: 454.4870
Ep: 29, Reward: 517.1127, Test: 583.8633, Avg: 458.7995
Ep: 30, Reward: 453.4036, Test: 426.8616, Avg: 457.7693
Ep: 31, Reward: 423.4777, Test: 345.3830, Avg: 454.2572
Ep: 32, Reward: 442.4630, Test: 626.6226, Avg: 459.4804
Ep: 33, Reward: 385.6759, Test: 545.6244, Avg: 462.0140
Ep: 34, Reward: 547.7890, Test: 551.1516, Avg: 464.5608
Ep: 35, Reward: 500.5478, Test: 549.6148, Avg: 466.9234
Ep: 36, Reward: 477.6824, Test: 427.5588, Avg: 465.8595
Ep: 37, Reward: 506.0783, Test: 507.0112, Avg: 466.9425
Ep: 38, Reward: 477.0412, Test: 488.4602, Avg: 467.4942
Ep: 39, Reward: 497.2124, Test: 389.4936, Avg: 465.5442
Ep: 40, Reward: 491.7771, Test: 590.1892, Avg: 468.5843
Ep: 41, Reward: 460.8827, Test: 667.1716, Avg: 473.3126
Ep: 42, Reward: 557.4175, Test: 835.3816, Avg: 481.7328
Ep: 43, Reward: 705.0305, Test: 754.5963, Avg: 487.9342
Ep: 44, Reward: 777.7720, Test: 783.3245, Avg: 494.4985
Ep: 45, Reward: 889.4918, Test: 769.3678, Avg: 500.4739
Ep: 46, Reward: 841.2245, Test: 863.5218, Avg: 508.1983
Ep: 47, Reward: 880.1896, Test: 848.5202, Avg: 515.2883
Ep: 48, Reward: 772.6530, Test: 867.1507, Avg: 522.4692
Ep: 49, Reward: 862.3778, Test: 662.3865, Avg: 525.2676
Ep: 50, Reward: 726.4769, Test: 697.8551, Avg: 528.6516
