Ep: 0, Reward: -19.0572, Test: -17.5952, Avg: -17.5952
Ep: 1, Reward: -7.5125, Test: -54.3945, Avg: -35.9949
Ep: 2, Reward: -56.7670, Test: -22.7945, Avg: -31.5948
Ep: 3, Reward: -32.7404, Test: -28.3255, Avg: -30.7774
Ep: 4, Reward: -27.4279, Test: -23.5039, Avg: -29.3227
Ep: 5, Reward: -38.3110, Test: -33.9385, Avg: -30.0920
Ep: 6, Reward: -40.3398, Test: -31.1343, Avg: -30.2409
Ep: 7, Reward: -34.2505, Test: -32.7017, Avg: -30.5485
Ep: 8, Reward: -24.3391, Test: -38.2968, Avg: -31.4094
Ep: 9, Reward: -37.4700, Test: -22.4497, Avg: -30.5135
Ep: 10, Reward: -35.6030, Test: -44.2451, Avg: -31.7618
Ep: 11, Reward: -38.0932, Test: -47.2778, Avg: -33.0548
Ep: 12, Reward: -42.8773, Test: -43.9440, Avg: -33.8924
Ep: 13, Reward: -42.0390, Test: -27.6323, Avg: -33.4453
Ep: 14, Reward: -39.0357, Test: -21.6766, Avg: -32.6607
Ep: 15, Reward: -36.3266, Test: -27.6576, Avg: -32.3480
Ep: 16, Reward: -37.4110, Test: -31.7527, Avg: -32.3130
Ep: 17, Reward: -44.7966, Test: -41.1689, Avg: -32.8050
Ep: 18, Reward: -57.1335, Test: -62.7447, Avg: -34.3808
Ep: 19, Reward: -62.2236, Test: -68.5950, Avg: -36.0915
Ep: 20, Reward: -55.3327, Test: -73.8117, Avg: -37.8877
Ep: 21, Reward: -64.8675, Test: -59.0217, Avg: -38.8483
Ep: 22, Reward: -56.1337, Test: -39.9464, Avg: -38.8961
Ep: 23, Reward: -51.3778, Test: -61.1912, Avg: -39.8250
Ep: 24, Reward: -46.2308, Test: -52.6405, Avg: -40.3376
Ep: 25, Reward: -55.2603, Test: -63.0546, Avg: -41.2114
Ep: 26, Reward: -53.0445, Test: -49.9194, Avg: -41.5339
Ep: 27, Reward: -44.7043, Test: -44.2843, Avg: -41.6321
Ep: 28, Reward: -64.5760, Test: -65.5321, Avg: -42.4563
Ep: 29, Reward: -63.3662, Test: -62.6097, Avg: -43.1280
Ep: 30, Reward: -64.6370, Test: -54.1038, Avg: -43.4821
Ep: 31, Reward: -66.5244, Test: -52.6437, Avg: -43.7684
Ep: 32, Reward: -66.8961, Test: -50.7045, Avg: -43.9786
Ep: 33, Reward: -57.7037, Test: -55.4994, Avg: -44.3174
Ep: 34, Reward: -57.4184, Test: -70.1210, Avg: -45.0547
Ep: 35, Reward: -69.8858, Test: -57.7583, Avg: -45.4075
Ep: 36, Reward: -56.7984, Test: -54.8891, Avg: -45.6638
Ep: 37, Reward: -54.8894, Test: -55.2126, Avg: -45.9151
Ep: 38, Reward: -47.3091, Test: -55.0073, Avg: -46.1482
Ep: 39, Reward: -56.8770, Test: -59.9789, Avg: -46.4940
Ep: 40, Reward: -56.0527, Test: -62.3978, Avg: -46.8819
Ep: 41, Reward: -55.4713, Test: -57.5584, Avg: -47.1361
Ep: 42, Reward: -57.4552, Test: -53.5493, Avg: -47.2852
Ep: 43, Reward: -55.0506, Test: -60.8766, Avg: -47.5941
Ep: 44, Reward: -65.5410, Test: -43.8667, Avg: -47.5113
Ep: 45, Reward: -52.0011, Test: -53.3287, Avg: -47.6378
Ep: 46, Reward: -44.0528, Test: -58.3237, Avg: -47.8651
Ep: 47, Reward: -53.3127, Test: -59.1988, Avg: -48.1012
Ep: 48, Reward: -54.6712, Test: -65.6780, Avg: -48.4600
Ep: 49, Reward: -58.4516, Test: -52.6650, Avg: -48.5441
Ep: 50, Reward: -61.9935, Test: -66.9083, Avg: -48.9041
