LR: 0.0001, buffer: 10000, upd: 0.0004
Batch: 32, Disc: 0.97, eps decay: 0.998, stack: 2
Ep: 0, Reward: -76.10921501706473, Avg: -76.10921501706473
Ep: 1, Reward: -2.43902439024383, Avg: -39.27411970365428
Ep: 2, Reward: -61.2903225806459, Avg: -46.612853995984814
Ep: 3, Reward: -32.432432432433096, Avg: -43.06774860509689
Ep: 4, Reward: -68.45425867507903, Avg: -48.14505061909332
Ep: 5, Reward: -58.06451612903273, Avg: -49.798294870749885
Ep: 6, Reward: -66.88741721854349, Avg: -52.23959806329183
Ep: 7, Reward: -20.26578073089745, Avg: -48.24287089674253
Ep: 8, Reward: -37.69470404984491, Avg: -47.07085235819835
Ep: 9, Reward: -70.00000000000023, Avg: -49.36376712237854
Ep: 10, Reward: -68.53146853146895, Avg: -51.106285432295856
Ep: 11, Reward: -41.17647058823553, Avg: -50.278800861957485
Ep: 12, Reward: -72.39263803680996, Avg: -51.97986526002307
Ep: 13, Reward: -16.955017301037838, Avg: -49.47809040580984
Ep: 14, Reward: -35.25179856115119, Avg: -48.52967094949926
Ep: 15, Reward: -44.606413994169465, Avg: -48.284467389791146
Ep: 16, Reward: -81.34328358208916, Avg: -50.229103636396914
Ep: 17, Reward: -66.2162162162163, Avg: -51.11727655749799
Ep: 18, Reward: -76.97368421052616, Avg: -52.47814011818368
Ep: 19, Reward: -62.06896551724211, Avg: -52.9576813881366
Ep: 20, Reward: 34.48275862068879, Avg: -48.793850911525865
Ep: 21, Reward: -72.02797202797213, Avg: -49.84994732590978
Ep: 22, Reward: -18.215613382899495, Avg: -48.47454150230063
Ep: 23, Reward: -83.76623376623324, Avg: -49.9450286799645
Ep: 24, Reward: -151.84111498257883, Avg: -54.02087213206907
Ep: 25, Reward: -44.25087108013987, Avg: -53.64510286084102
Ep: 26, Reward: -65.15679442508767, Avg: -54.071461807664974
Ep: 27, Reward: -73.68421052631581, Avg: -54.77191711904536
Ep: 28, Reward: -76.10921501706473, Avg: -55.50768601208051
Ep: 29, Reward: -48.90510948905175, Avg: -55.28760012797955
Ep: 30, Reward: -30.555555555555948, Avg: -54.48979223854653
Ep: 31, Reward: -53.79537953795421, Avg: -54.46809184165303
Ep: 32, Reward: -58.33333333333383, Avg: -54.58522037170396
Ep: 33, Reward: -49.275362318840926, Avg: -54.42904807603152
Ep: 34, Reward: -47.08994708994733, Avg: -54.21935947642912
Ep: 35, Reward: -71.731448763251, Avg: -54.70580640106306
Ep: 36, Reward: -77.91798107255504, Avg: -55.333162473265546
Ep: 37, Reward: -74.35897435897446, Avg: -55.833841733415774
Ep: 38, Reward: -35.71428571428593, Avg: -55.31795568164321
Ep: 39, Reward: -13.857677902622292, Avg: -54.28144873716769
Ep: 40, Reward: -74.54545454545452, Avg: -54.77569278127225
Ep: 41, Reward: -78.65853658536565, Avg: -55.34433191946495
Ep: 42, Reward: -40.95940959409668, Avg: -55.0097988421308
Ep: 43, Reward: -45.85987261146546, Avg: -54.80184597325205
Ep: 44, Reward: -78.18181818181796, Avg: -55.32140091122018
Ep: 45, Reward: 9.090909090909323, Avg: -53.92113330247823
Ep: 46, Reward: -53.57142857142924, Avg: -53.9136927762857
Ep: 47, Reward: -16.6666666666664, Avg: -53.13771306566863
Ep: 48, Reward: -24.137931034482623, Avg: -52.54588077931789
Ep: 49, Reward: -66.16541353383501, Avg: -52.81827143440823
Ep: 50, Reward: -79.45205479452025, Avg: -53.34050248068494
Ep: 51, Reward: -66.3299663299668, Avg: -53.5902998624019
Ep: 52, Reward: -78.87323943661946, Avg: -54.06733645814185
Ep: 53, Reward: -65.517241379311, Avg: -54.2793717344598
Ep: 54, Reward: -62.199312714777264, Avg: -54.42337066137466
Ep: 55, Reward: -15.194346289752835, Avg: -53.72285236902428
Ep: 56, Reward: -57.36434108527204, Avg: -53.786738135975995
Ep: 57, Reward: -72.97297297297311, Avg: -54.11753528833801
Ep: 58, Reward: -49.04458598726158, Avg: -54.03155309679434
Ep: 59, Reward: -63.934426229508794, Avg: -54.19660098233958
Ep: 60, Reward: -39.59731543624179, Avg: -53.95726843240356
Ep: 61, Reward: -78.33935018050518, Avg: -54.35052781543746
Ep: 62, Reward: -34.210526315789856, Avg: -54.03084525195099
Ep: 63, Reward: -72.02797202797215, Avg: -54.312050357826315
Ep: 64, Reward: -60.52631578947426, Avg: -54.40765444139013
Ep: 65, Reward: -18.644067796610376, Avg: -53.865781916469224
Ep: 66, Reward: -54.15472779369696, Avg: -53.870094541502475
Ep: 67, Reward: -62.686567164179635, Avg: -53.99974855065949
Ep: 68, Reward: -27.835051546391753, Avg: -53.62055004335126
Ep: 69, Reward: -79.99999999999967, Avg: -53.997399328446235
Ep: 70, Reward: -36.619718309859294, Avg: -53.75264325776191
Ep: 71, Reward: -52.07667731629458, Avg: -53.72936595301931
Ep: 72, Reward: -24.242424242424512, Avg: -53.325435244655004
Ep: 73, Reward: -66.21621621621668, Avg: -53.49963498751394
