Ep: 0, Reward: -41.9795, Avg: -41.9795
Ep: 1, Reward: -56.8106, Avg: -49.3951
Ep: 2, Reward: -53.7367, Avg: -50.8423
Ep: 3, Reward: -43.5737, Avg: -49.0251
Ep: 4, Reward: -21.0526, Avg: -43.4306
Ep: 5, Reward: -30.3136, Avg: -41.2444
Ep: 6, Reward: -58.9041, Avg: -43.7673
Ep: 7, Reward: -30.9211, Avg: -42.1615
Ep: 8, Reward: -60.6557, Avg: -44.2164
Ep: 9, Reward: -50.3546, Avg: -44.8302
Ep: 10, Reward: -71.8310, Avg: -47.2848
Ep: 11, Reward: -70.1493, Avg: -49.1902
Ep: 12, Reward: -81.8841, Avg: -51.7051
Ep: 13, Reward: -35.7143, Avg: -50.5629
Ep: 14, Reward: -41.4063, Avg: -49.9525
Ep: 15, Reward: -66.8874, Avg: -51.0109
Ep: 16, Reward: -77.3463, Avg: -52.5600
Ep: 17, Reward: -78.4946, Avg: -54.0009
Ep: 18, Reward: -83.1081, Avg: -55.5328
Ep: 19, Reward: -42.9658, Avg: -54.9045
Ep: 20, Reward: -73.9414, Avg: -55.8110
Ep: 21, Reward: -63.2353, Avg: -56.1485
Ep: 22, Reward: -76.2611, Avg: -57.0229
Ep: 23, Reward: -75.7785, Avg: -57.8044
Ep: 24, Reward: -33.5664, Avg: -56.8349
Ep: 25, Reward: -44.8529, Avg: -56.3740
Ep: 26, Reward: -30.6931, Avg: -55.4229
Ep: 27, Reward: -52.3810, Avg: -55.3142
Ep: 28, Reward: -55.3903, Avg: -55.3169
Ep: 29, Reward: -83.6601, Avg: -56.2616
Ep: 30, Reward: -70.9677, Avg: -56.7360
Ep: 31, Reward: -77.1863, Avg: -57.3751
Ep: 32, Reward: -31.8996, Avg: -56.6031
Ep: 33, Reward: -82.8767, Avg: -57.3759
Ep: 34, Reward: -45.8484, Avg: -57.0465
Ep: 35, Reward: -54.7325, Avg: -56.9822
Ep: 36, Reward: -70.4142, Avg: -57.3453
Ep: 37, Reward: -78.7234, Avg: -57.9079
Ep: 38, Reward: -48.4536, Avg: -57.6654
Ep: 39, Reward: -76.0479, Avg: -58.1250
Ep: 40, Reward: -25.3112, Avg: -57.3247
Ep: 41, Reward: -78.8732, Avg: -57.8377
Ep: 42, Reward: -42.4460, Avg: -57.4798
Ep: 43, Reward: -81.8841, Avg: -58.0344
Ep: 44, Reward: -41.9795, Avg: -57.6776
Ep: 45, Reward: -19.8473, Avg: -56.8552
Ep: 46, Reward: -72.8261, Avg: -57.1950
Ep: 47, Reward: -40.2985, Avg: -56.8430
Ep: 48, Reward: -62.7119, Avg: -56.9628
Ep: 49, Reward: -43.6090, Avg: -56.6957
Ep: 50, Reward: -41.5808, Avg: -56.3994
Ep: 51, Reward: -49.1525, Avg: -56.2600
Ep: 52, Reward: -8.4967, Avg: -55.3588
Ep: 53, Reward: -83.1650, Avg: -55.8737
Ep: 54, Reward: -64.4128, Avg: -56.0290
Ep: 55, Reward: -67.1053, Avg: -56.2268
Ep: 56, Reward: -23.0769, Avg: -55.6452
Ep: 57, Reward: -80.4687, Avg: -56.0732
Ep: 58, Reward: -63.8554, Avg: -56.2051
Ep: 59, Reward: -71.1191, Avg: -56.4537
Ep: 60, Reward: -77.1987, Avg: -56.7937
Ep: 61, Reward: -70.4918, Avg: -57.0147
Ep: 62, Reward: -43.2624, Avg: -56.7964
Ep: 63, Reward: -56.6563, Avg: -56.7942
Ep: 64, Reward: -78.3394, Avg: -57.1257
Ep: 65, Reward: -65.7321, Avg: -57.2561
Ep: 66, Reward: -51.7685, Avg: -57.1742
Ep: 67, Reward: -76.4310, Avg: -57.4574
Ep: 68, Reward: -76.5886, Avg: -57.7346
Ep: 69, Reward: -77.4436, Avg: -58.0162
Ep: 70, Reward: -28.3276, Avg: -57.5980
Ep: 71, Reward: -57.5972, Avg: -57.5980
Ep: 72, Reward: -73.4513, Avg: -57.8152
Ep: 73, Reward: -62.1993, Avg: -57.8744
Ep: 74, Reward: -73.2824, Avg: -58.0799
Ep: 75, Reward: -68.2540, Avg: -58.2137
Ep: 76, Reward: -58.1882, Avg: -58.2134
Ep: 77, Reward: -74.4681, Avg: -58.4218
Ep: 78, Reward: -65.9864, Avg: -58.5176
Ep: 79, Reward: -64.1694, Avg: -58.5882
Ep: 80, Reward: -79.6610, Avg: -58.8484
Ep: 81, Reward: -84.3260, Avg: -59.1591
Ep: 82, Reward: -152.8964, Avg: -60.2884
Ep: 83, Reward: -75.3846, Avg: -60.4681
Ep: 84, Reward: -65.1163, Avg: -60.5228
Ep: 85, Reward: -83.8188, Avg: -60.7937
Ep: 86, Reward: -64.6302, Avg: -60.8378
Ep: 87, Reward: -45.7627, Avg: -60.6665
Ep: 88, Reward: -34.6405, Avg: -60.3741
Ep: 89, Reward: -44.2509, Avg: -60.1949
Ep: 90, Reward: -47.7124, Avg: -60.0578
Ep: 91, Reward: -64.2857, Avg: -60.1037
Ep: 92, Reward: -68.9441, Avg: -60.1988
Ep: 93, Reward: -68.6520, Avg: -60.2887
Ep: 94, Reward: -75.9450, Avg: -60.4535
