REG_LAMBDA = 1e-6             # Penalty multiplier to apply for the size of the network weights
LEARN_RATE = 0.0001           # Sets how much we want to update the network weights at each training step
TARGET_UPDATE_RATE = 0.0004   # How frequently we want to copy the local network to the target network (for double DQNs)
MAX_BUFFER_SIZE = 100000      # Sets the maximum length of the replay buffer
REPLAY_BATCH_SIZE = 32        # How many experience tuples to sample from the buffer for each train step
DISCOUNT_RATE = 0.97          # The constant gamma for discounting future rewards in the Bellman Equation
EPS_MAX = 1.0                 # The starting proportion of random to greedy actions to take
EPS_MIN = 0.1                 # The lower limit proportion of random to greedy actions to take
EPS_DECAY = 0.998             # The rate at which eps decays from EPS_MAX to EPS_MIN

Ep: 0, Reward: -48.61660079051416, Avg: -48.61660079051416
Ep: 1, Reward: -62.711864406780194, Avg: -55.664232598647175
Ep: 2, Reward: -79.72972972972941, Avg: -63.68606497567458
Ep: 3, Reward: -81.59509202453948, Avg: -68.16332173789081
Ep: 4, Reward: -79.38144329896879, Avg: -70.40694605010641
Ep: 5, Reward: -57.51633986928173, Avg: -68.25851168663563
Ep: 6, Reward: -56.204379562044586, Avg: -66.53649281169406
Ep: 7, Reward: -59.45945945945995, Avg: -65.6518636426648
Ep: 8, Reward: -69.28327645051235, Avg: -66.05535395464784
Ep: 9, Reward: -64.78873239436672, Avg: -65.92869179861972
Ep: 10, Reward: -32.43243243243254, Avg: -62.883577310784524
Ep: 11, Reward: -43.143812709030655, Avg: -61.23859692730503
Ep: 12, Reward: -34.579439252336634, Avg: -59.18789249076901
Ep: 13, Reward: -52.54237288135645, Avg: -58.71321251866811
Ep: 14, Reward: -23.841059602649494, Avg: -56.38840232426686
Ep: 15, Reward: -64.78873239436687, Avg: -56.91342295364812
Ep: 16, Reward: -34.42622950819719, Avg: -55.5906468686216
Ep: 17, Reward: -61.424332344214214, Avg: -55.914740506154516
Ep: 18, Reward: -48.80546075085361, Avg: -55.54056788745447
Ep: 19, Reward: -61.783439490446405, Avg: -55.85271146760407
Ep: 20, Reward: -63.3699633699639, Avg: -56.21067584390692
Ep: 21, Reward: -56.86274509803983, Avg: -56.240315355458414
Ep: 22, Reward: -34.48275862068994, Avg: -55.29433462785978
Ep: 23, Reward: -55.932203389831216, Avg: -55.32091249294192
Ep: 24, Reward: -54.88721804511323, Avg: -55.30356471502878
Ep: 25, Reward: -42.0731707317077, Avg: -54.79470340797797
Ep: 26, Reward: -75.77854671280267, Avg: -55.57188278963814
Ep: 27, Reward: -55.017301038062875, Avg: -55.55207629851045
Ep: 28, Reward: -77.63578274760368, Avg: -56.313583417444704
Ep: 29, Reward: -37.90849673202636, Avg: -55.70008052793076
Ep: 30, Reward: -53.27102803738353, Avg: -55.621723995977625
Ep: 31, Reward: -33.79790940766623, Avg: -54.9397297900929
Ep: 32, Reward: -17.695473251029412, Avg: -53.81111595557582
Ep: 33, Reward: -30.55555555555562, Avg: -53.127128884986995
Ep: 34, Reward: -34.36293436293459, Avg: -52.59100904149978
Ep: 35, Reward: -75.77854671280267, Avg: -53.23510731014708
Ep: 36, Reward: -38.77551020408182, Avg: -52.844307388361536
Ep: 37, Reward: -37.08609271523232, Avg: -52.429617528542344
Ep: 38, Reward: -22.222222222222236, Avg: -51.655068930944395
Ep: 39, Reward: -45.05494505494532, Avg: -51.490065834044415
Ep: 40, Reward: -21.232876712328775, Avg: -50.75208561156354
Ep: 41, Reward: -49.66442953020197, Avg: -50.72618903819779
Ep: 42, Reward: -80.19801980197987, Avg: -51.41158045130901
Ep: 43, Reward: -71.26436781609215, Avg: -51.862780164144986
Ep: 44, Reward: -67.32026143790885, Avg: -52.2062797480064
Ep: 45, Reward: -69.79865771812126, Avg: -52.58872274735673
Ep: 46, Reward: -48.339483394834474, Avg: -52.49831339943073
Ep: 47, Reward: -32.038834951456664, Avg: -52.07207426509793
Ep: 48, Reward: -31.899641577061036, Avg: -51.66039196534208
Ep: 49, Reward: -61.038961038961524, Avg: -51.84796334681447
Ep: 50, Reward: -66.7774086378742, Avg: -52.14069756820779
Ep: 51, Reward: -53.02013422818831, Avg: -52.15760981166896
Ep: 52, Reward: -83.27759197324364, Avg: -52.74477928641565
Ep: 53, Reward: -58.33333333333386, Avg: -52.848271028025245
Ep: 54, Reward: -37.30407523510986, Avg: -52.565649286335876
Ep: 55, Reward: -51.29870129870161, Avg: -52.54302521512812
Ep: 56, Reward: -82.63888888888842, Avg: -53.0710228234397
Ep: 57, Reward: -53.177257525084016, Avg: -53.072854456226665
Ep: 58, Reward: -41.979522184300635, Avg: -52.88483187534656
Ep: 59, Reward: -3.7800687285229775, Avg: -52.06641915623284
Ep: 60, Reward: -81.06060606060568, Avg: -52.54173369564878
Ep: 61, Reward: -64.4970414201189, Avg: -52.73456123959185
Ep: 62, Reward: -31.558935361216736, Avg: -52.398440193903355
Ep: 63, Reward: -57.52895752895805, Avg: -52.4786045272636
Ep: 64, Reward: -79.23875432525924, Avg: -52.89029913954046
Ep: 65, Reward: -72.80966767371609, Avg: -53.19210775369463
Ep: 66, Reward: -50.57034220532349, Avg: -53.152976924614464
Ep: 67, Reward: -21.232876712329425, Avg: -52.68356368619851
Ep: 68, Reward: -24.590163934426307, Avg: -52.276412965158336
Ep: 69, Reward: -50.33112582781486, Avg: -52.248623148910575
Ep: 70, Reward: -81.3664596273288, Avg: -52.65873352184604
Ep: 71, Reward: -71.51898734177229, Avg: -52.92068149156723
Ep: 72, Reward: -53.79537953795427, Avg: -52.93266365658623
Ep: 73, Reward: -77.69516728624515, Avg: -53.26729208401405
Ep: 74, Reward: -67.7419354838713, Avg: -53.46028732934548
Ep: 75, Reward: -37.500000000000256, Avg: -53.25028354869621
Ep: 76, Reward: -61.90476190476249, Avg: -53.36267937150227
Ep: 77, Reward: -59.55882352941225, Avg: -53.4421171171165
Ep: 78, Reward: -17.910447761193996, Avg: -52.99234915058583
Ep: 79, Reward: -55.932203389830974, Avg: -53.029097328576384
Ep: 80, Reward: -36.09022556391022, Avg: -52.81997545493853
Ep: 81, Reward: -20.689655172414245, Avg: -52.4281422807614
Ep: 82, Reward: -53.40501792114769, Avg: -52.439911866790155
Ep: 83, Reward: -68.25396825396865, Avg: -52.628174442828
Ep: 84, Reward: 3.7037037037038716, Avg: -51.96544646463351
Ep: 85, Reward: -14.979757085020232, Avg: -51.53538030905661
