Ep: 0, Reward: -51.14942528735669, Avg: -51.14942528735669
Ep: 1, Reward: -76.10921501706473, Avg: -63.62932015221071
Ep: 2, Reward: -41.368078175896564, Avg: -56.20890616010599
Ep: 3, Reward: -43.11377245509007, Avg: -52.93512273385201
Ep: 4, Reward: -41.36807817589602, Avg: -50.621713822260816
Ep: 5, Reward: -73.24414715719067, Avg: -54.39211937808246
Ep: 6, Reward: -70.1986754966892, Avg: -56.650198823597705
Ep: 7, Reward: -81.8181818181814, Avg: -59.796196697920664
Ep: 8, Reward: -49.49494949494979, Avg: -58.65161367536834
Ep: 9, Reward: -52.21843003413002, Avg: -58.00829531124451
Ep: 10, Reward: -13.72549019607831, Avg: -53.982585755320315
Ep: 11, Reward: -72.60273972602748, Avg: -55.534265252879244
Ep: 12, Reward: -39.2971246006395, Avg: -54.28525443347618
Ep: 13, Reward: -84.02555910543077, Avg: -56.40956191004437
Ep: 14, Reward: -64.8562300319494, Avg: -56.972673118171365
Ep: 15, Reward: -44.66403162055366, Avg: -56.20338302457027
Ep: 16, Reward: -75.43859649122798, Avg: -57.334866169667784
Ep: 17, Reward: -75.08896797153021, Avg: -58.32120515866014
Ep: 18, Reward: -30.656934306569312, Avg: -56.865190903286944
Ep: 19, Reward: -72.97297297297267, Avg: -57.67058000677123
Ep: 20, Reward: -73.88059701492541, Avg: -58.44248557858809
Ep: 21, Reward: -20.45454545454576, Avg: -56.715761027495255
Ep: 22, Reward: -46.3722397476343, Avg: -56.26604271097956
Ep: 23, Reward: -63.07692307692397, Avg: -56.54982939289391
Ep: 24, Reward: -54.063604240283134, Avg: -56.45038038678948
Ep: 25, Reward: -43.859649122807674, Avg: -55.96612149202095
Ep: 26, Reward: -39.873417721519274, Avg: -55.37009542644682
Ep: 27, Reward: -70.49180327868885, Avg: -55.910156421169745
Ep: 28, Reward: -25.170068027211222, Avg: -54.85015337310221
Ep: 29, Reward: -71.92982456140362, Avg: -55.41947574604559
Ep: 30, Reward: -63.81578947368475, Avg: -55.69032457596944
Ep: 31, Reward: -50.87719298245666, Avg: -55.53991421367216
Ep: 32, Reward: -55.63139931740688, Avg: -55.542686489542916
Ep: 33, Reward: -69.0402476780189, Avg: -55.93967358332162
Ep: 34, Reward: -27.272727272727696, Avg: -55.120617974447505
Ep: 35, Reward: -52.229299363057805, Avg: -55.040303568575574
Ep: 36, Reward: -38.356164383562145, Avg: -54.58938088789953
Ep: 37, Reward: -74.11003236245953, Avg: -55.103082242493215
Ep: 38, Reward: -44.91525423728854, Avg: -54.8418558833854
Ep: 39, Reward: -66.52719665272008, Avg: -55.133989402618774
Ep: 40, Reward: -72.4137931034484, Avg: -55.55544802946827
Ep: 41, Reward: -70.58823529411788, Avg: -55.91337153576946
Ep: 42, Reward: -29.23076923076927, Avg: -55.29284590076945
Ep: 43, Reward: -79.66101694915227, Avg: -55.84666797005088
Ep: 44, Reward: -64.4128113879009, Avg: -56.03702671266977
Ep: 45, Reward: -81.70731707317032, Avg: -56.59507650311543
Ep: 46, Reward: -37.106918238994055, Avg: -56.18043483792136
Ep: 47, Reward: -45.3924914675776, Avg: -55.955686017705865
Ep: 48, Reward: -83.44370860927101, Avg: -56.51666607059496
Ep: 49, Reward: -68.50393700787433, Avg: -56.75641148934054
